Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
Turner County Herald,10-20-1910,2,Hurley,South Dakota,https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_eagle_ver01/data/sn2001063133/00415623318/1910102001/0964.pdf,-97.0894374,43.279327
The News-Herald,08-17-1899,6,Hillsboro,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_india_ver01/data/sn85038161/00237289328/1899081701/0107.pdf,-83.6111802,39.2122898
The Fulton County News,09-18-1902,9,Mcconnellsburg,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_jordan_ver01/data/sn86081889/00280776713/1902091801/0757.pdf,-77.9957931,39.9320002
The Interior Journal,09-24-1912,1,Stanford,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_holmium_ver01/data/sn85052023/00280763743/1912092401/0412.pdf,-84.6703381,37.5397752
Aberdeen Herald,05-31-1900,3,Aberdeen,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_green_ver01/data/sn87093220/00200290331/1900053101/0276.pdf,-123.8377628,46.9824963
The Spokane Press,11-14-1905,1,Spokane,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_columbia_ver01/data/sn88085947/00211108563/1905111401/0098.pdf,-118.0421653,47.928244
The Ogden Standard-Examiner,12-09-1920,10,Ogden,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_kloeden_ver01/data/sn85058393/print/1920120901/1145.pdf,-112.0125218,41.2169975
The Hawaiian Gazette,12-04-1906,5,Honolulu,Hawaii,https://tile.loc.gov/storage-services/service/ndnp/hihouml/batch_hihouml_cardinal_ver01/data/sn83025121/00294552492/1906120401/0284.pdf,-154.89,19.5541667
The Milwaukee Leader,11-28-1923,12,Milwaukee,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_feta_ver01/data/sn83045293/00517013304/1923112801/0315.pdf,-87.5805487,43.0154569
The Producers News,02-22-1929,8,Plentywood,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_juniper_ver01/data/sn85053305/00393341416/1929022201/0069.pdf,-104.6900796,48.8224731
Warren Sheaf,08-04-1920,8,Warren,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_quiring_ver01/data/sn90059228/00280766665/1920080401/0398.pdf,-91.7795919,43.9766599
Corvallis Gazette,06-01-1900,1,Corvallis,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_pearsoll_ver01/data/sn93051660/00295868764/1900060101/0263.pdf,-123.298498,44.584886
Bryan Morning Eagle,07-30-1905,4,Bryan,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_infiniti_ver03/data/sn86088652/00200297039/1905073001/0686.pdf,-96.3475882,30.6456831
The Butler Weekly Times,07-10-1902,3,Butler,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_kocoum_ver01/data/sn89066489/00294557003/1902071001/0427.pdf,-90.4065542,36.7163904
San Antonio Daily Light,07-27-1899,8,San Antonio,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_frisco_ver01/data/sn86090439/00517175109/1899072701/0743.pdf,-98.5242934,29.4627143
Hyder Weekly Herald,09-27-1930,1,Hyder,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_dolphin_ver01/data/sn94050047/00514159981/1930092701/0159.pdf,-133.1930259,55.7271705
La Prensa,12-19-1915,7,San Antonio,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_andrews_ver01/data/sn83045395/00279520403/1915121901/0348.pdf,-98.5242934,29.4627143
Las Vegas Daily Optic,01-20-1900,4,Las Vegas,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_bronte_ver01/data/sn86063592/00415626745/1900012001/0110.pdf,-105.0588914,35.623099
Barre Evening Telegram,01-02-1902,4,Barre,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_green_ver02/data/sn98060035/00202199227/1902010201/0013.pdf,-72.5084809,44.199747
Pullman Herald,12-31-1904,9,Pullman,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_dogwood_ver01/data/sn88085488/0021110806A/1904123101/0805.pdf,-117.1859894,46.7271259
The Brattleboro Daily Reformer,10-29-1915,6,Brattleboro,Vermont,https://tile.loc.gov/storage-services/service/ndnp/vtu/batch_vtu_garlic_ver01/data/sn86071593/00415627750/1915102901/0154.pdf,-72.6143958,42.861872
The Union Daily Times,02-16-1922,1,Union,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_grandamericancoonhunt_ver01/data/sn86071063/00295861654/1922021601/0571.pdf,-81.6190873,34.6895381
Anchorage Daily Times And Cook Inlet Pioneer,03-12-1917,6,Anchorage,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_killerwhale_ver01/data/2019271005/00514154090/1917031201/0573.pdf,-149.1900081,61.1483033
Greene County Herald,12-17-1915,4,Leakesville,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_hematite_ver01/data/sn87065327/00383344591/1915121701/0117.pdf,-88.5557817,31.1497058
Indiana Daily Times,06-16-1921,7,Indianapolis,Indiana,https://tile.loc.gov/storage-services/service/ndnp/in/batch_in_collins_ver02/data/sn85047611/00383348596/1921061601/0481.pdf,-86.145737,39.7778261
The Pensacola Journal,09-28-1921,4,Pensacola,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_cedarkey_ver01/data/sn87062268/00271762215/1921092801/0244.pdf,-87.2397166,30.3114645
The Daily Star-Mirror,01-18-1913,2,Moscow,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_jerusalem_ver01/data/sn89055128/00414211410/1913011801/0062.pdf,-116.9545097,46.7350852
The Austin Weekly Statesman,09-23-1897,9,Austin,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_audi_ver01/data/sn86088296/00200297519/1897092301/1069.pdf,-96.2779089,29.8870241
Rogue River Courier,05-10-1917,3,Grants Pass,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_darter_ver01/data/sn96088180/0020029483A/1917051001/0856.pdf,-123.3249425,42.5121606
St. Helens Mist,03-02-1917,8,Saint Helens,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_egret_ver01/data/2004260419/00200294889/1917030201/1093.pdf,-122.9291243,45.865409
The Yakima Herald,11-19-1901,5,Yakima,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_fir_ver01/data/sn88085523/00211107844/1901111901/0424.pdf,-120.7384904,46.4570264
The Kendrick Gazette,07-20-1906,6,Kendrick,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_greene_ver01/data/sn86091096/00295867759/1906072001/0416.pdf,-116.6657195,46.6937138
The Parisian,07-22-1921,1,Paris,Tennessee,https://tile.loc.gov/storage-services/service/ndnp/tu/batch_tu_eddie_ver02/data/sn89058354/00415622211/1921072201/0845.pdf,-88.306445,36.2933208
Mexico Missouri Message,09-04-1902,9,Mexico,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_henri_ver01/data/sn89067273/00200292649/1902090401/0674.pdf,-91.8711254,39.1625513
Palestine Daily Herald,09-29-1904,2,Palestine,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_bravo_ver01/data/sn86090383/0017503478A/1904092901/0154.pdf,-95.6070756,31.7609132
The Brookings Register,09-14-1916,3,Brookings,South Dakota,https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_guava_ver02/data/sn85042792/00332899910/1916091401/1050.pdf,-96.790421,44.3696796
Camas Prairie Chronicle,07-20-1906,6,Cottonwood,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_fitzgerald_ver02/data/sn88056165/00295869197/1906072001/0545.pdf,-116.5056902,45.9348763
The Chattanooga News,08-20-1919,2,Chattanooga,Tennessee,https://tile.loc.gov/storage-services/service/ndnp/tu/batch_tu_anita_ver01/data/sn85038531/0041562122A/1919082001/1335.pdf,-85.2481349,35.0660117
Sullivan Republican,11-29-1895,1,Laporte,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_carlisle_ver01/data/sn86081853/00296026074/1895112901/0236.pdf,-76.4920044,41.4179835
The Enterprise,10-05-1898,2,Wellington,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_cousteau_ver02/data/sn84028272/0029602806A/1898100501/0553.pdf,-82.2190845,41.1685813
International,12-20-1925,17,Nogales,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_groomcreek_ver04/data/sn96060773/0041421762A/1925122001/0041.pdf,-110.1875775,31.6992575
The Portland Daily Press,11-24-1900,7,Portland,Maine,https://tile.loc.gov/storage-services/service/ndnp/me/batch_me_isleboro_ver01/data/sn83016025/00414210776/1900112401/0221.pdf,-70.0726137,44.9054388
The Freeman,05-21-1898,4,Indianapolis,Indiana,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_arneaux_ver02/data/sn82016211/00211663637/1898052101/0416.pdf,-86.145737,39.7778261
Atlanta Georgian,11-13-1913,14,Atlanta,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_kesil_ver01/data/sn89053729/00393344581/1913111305/1011.pdf,-84.4147989,33.7905093
Putnam Patriot,01-31-1913,2,Putnam,Connecticut,https://tile.loc.gov/storage-services/service/ndnp/ct/batch_ct_bigelow_ver02/data/sn84022396/00393343746/1913013101/0858.pdf,-71.8711555,41.909309
Imperial Press,05-04-1901,3,Imperial,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_benicia_ver01/data/sn98061398/00175046756/1901050401/0023.pdf,-115.365337,33.0395904
The Salt Lake Herald,12-28-1894,7,Salt Lake City,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_boozer_ver01/data/sn85058130/00175048595/1894122801/0572.pdf,-111.8763236,40.6263366
The Richmond Palladium And Sun-Telegram,07-29-1921,14,Richmond,Indiana,https://tile.loc.gov/storage-services/service/ndnp/in/batch_in_everettcase_ver01/data/sn86058226/00271745382/1921072901/0564.pdf,-84.8904528,39.8317713
Courier Democrat,03-03-1898,6,Langdon,North Dakota,https://tile.loc.gov/storage-services/service/ndnp/ndhi/batch_ndhi_europium_ver01/data/sn88076432/00271740712/1898030301/0540.pdf,-98.3747104,48.7623719
The Churchill County Standard,02-11-1920,5,Fallon,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_jackpot_ver01/data/sn86076306/0033289111A/1920021101/0327.pdf,-118.6174027,39.5210409
The Laurens Advertiser,08-18-1909,8,Laurens,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_kikideville_ver02/data/sn93067760/00211109944/1909081801/0769.pdf,-82.005684,34.4833987
The Rich Hill Tribune,03-17-1910,3,Rich Hill,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_jerome_ver01/data/sn90061663/00280779696/1910031701/0085.pdf,-93.4828595,39.8347517
Goodwin'S Weekly : A Thinking Paper For Thinking People,06-10-1905,1,Salt Lake City,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_evans_ver02/data/2010218519/00237285670/1905061001/0065.pdf,-111.8763236,40.6263366
The Sun,06-11-1916,24,New York,New York,https://tile.loc.gov/storage-services/service/ndnp/nn/batch_nn_gleason_ver02/data/sn83030272/00206534977/1916061101/0566.pdf,-73.9700088,40.7740183
El Paso Daily Herald,08-09-1899,3,El Paso,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_gmc_ver02/data/sn86064199/00212477503/1899080901/0264.pdf,-106.2348175,31.7686274
Free Trader-Journal,07-27-1917,5,Ottawa,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_headline_ver02/data/sn92053240/00295873012/1917072701/0133.pdf,-88.8794906,41.3489307
The Ogden Standard,10-17-1919,12,Ogden,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_julich_ver01/data/sn85058396/print/1919101701/0215.pdf,-112.0125218,41.2169975
Honolulu Star-Bulletin,05-22-1917,5,Honolulu,Hawaii,https://tile.loc.gov/storage-services/service/ndnp/hihouml/batch_hihouml_khaki_ver01/data/sn82014682/00212471136/1917052201/0266.pdf,-154.89,19.5541667
Deming Graphic,03-20-1914,4,Deming,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_antelope_ver01/data/sn86063579/00280774406/1914032001/0035.pdf,-107.7446741,32.4160501
The Circle Banner,01-11-1924,6,Circle,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_douglasfir_ver01/data/sn85053024/00240581805/1924011101/0738.pdf,-105.8257908,47.3930209
The National Tribune,10-08-1903,8,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_abe_ver01/data/sn82016187/100493809/1903100801/0625.pdf,-77.0163653,38.9001118
Howard Times,02-19-1898,3,Howard,Rhode Island,https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_gargoyle_ver02/data/sn92064114/00514153401/1898021901/0564.pdf,,
The Lakeland Evening Telegram,09-22-1921,1,Lakeland,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_albert_ver01/data/sn95047222/00271766270/1921092201/0467.pdf,-81.9467043,28.1450872
The Hatchet,04-29-1900,2,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_uniform_ver01/data/sn82014159/100493706/1900042901/0012.pdf,-77.0163653,38.9001118
New-York Tribune,06-26-1920,2,New York,New York,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_fogler_ver01/data/sn83030214/0020653252A/1920062601/0704.pdf,-73.9700088,40.7740183
The Huntington Advertiser,05-14-1900,2,Huntington,West Virginia,https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_bacall_ver02/data/sn85059809/00514158241/1900051401/0650.pdf,-82.4345904,38.4108896
The Berne Witness,08-16-1910,6,Berne,Indiana,https://tile.loc.gov/storage-services/service/ndnp/in/batch_in_bashir_ver02/data/sn84045439/00517017474/1910081601/1158.pdf,-84.9555297,40.6572144
The Cordele Dispatch And Daily Sentinel,04-18-1922,6,Cordele,Georgia,https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_fozzie_ver01/data/2022239691/00517010315/1922041801/0870.pdf,-83.7845882,31.9430523
The Calumet News,07-12-1910,7,Calumet,Michigan,https://tile.loc.gov/storage-services/service/ndnp/mimtptc/batch_mimtptc_jackson_ver01/data/sn86086633/00296024521/1910071201/0744.pdf,-88.4412872,47.2574915
Newark Evening Star And Newark Advertiser,07-29-1910,13,Newark,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_bacala_ver01/data/sn91064011/0033289609A/1910072901/0344.pdf,-74.1622556,40.7509599
The Midland Journal,12-14-1917,7,Rising Sun,Maryland,https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_belair_ver02/data/sn89060136/00279522254/1917121401/0859.pdf,-76.0756753,39.6801655
Casper Daily Tribune,12-24-1922,1,Casper,Wyoming,https://tile.loc.gov/storage-services/service/ndnp/wyu/batch_wyu_greybull_ver01/data/sn86072160/00514150412/1922122401/1263.pdf,-106.3452512,42.8361729
Imperial Press And Farmer,12-28-1901,12,Imperial,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_benicia_ver01/data/sn92070142/00175046756/1901122801/0312.pdf,-115.365337,33.0395904
Graham Guardian,08-19-1910,1,Safford,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn95060914/00211105057/1910081901/0066.pdf,-109.5358541,32.7128399
San Antonio Light And Gazette,05-19-1910,10,San Antonio,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_justin_ver01/data/sn86090238/00517175626/1910051901/0365.pdf,-98.5242934,29.4627143
The Ocala Evening Star,12-23-1922,1,Ocala,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_criser_ver02/data/sn84027621/00295865696/1922122301/0654.pdf,-82.0919527,29.1784025
The Mobridge News,02-17-1916,3,Mobridge,South Dakota,https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_banana_ver02/data/sn98069043/00279522783/1916021701/0143.pdf,-100.4349063,45.5409613
The State Herald,11-05-1915,4,Holyoke,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_leadville_ver01/data/sn90051167/00340586074/1915110501/1163.pdf,-102.2202802,40.5923351
Pueblo Chieftain,07-30-1921,3,Pueblo,Colorado,https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_kebler_ver01/data/sn90051672/0038334136A/1921073001/0329.pdf,-104.5128456,38.1734202
Bridgeton Pioneer,09-12-1901,7,Bridgeton,New Jersey,https://tile.loc.gov/storage-services/service/ndnp/njr/batch_njr_ketchup_ver01/data/sn87068192/00279529704/1901091201/0709.pdf,-75.2280699,39.4285614
Albuquerque Evening Herald,10-14-1912,1,Albuquerque,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_elkweed_ver01/data/sn92070581/00280773864/1912101401/0751.pdf,-106.667526,35.1017126
Laredo Weekly Times,10-09-1910,9,Laredo,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_albatross_ver01/data/sn86089566/00517176394/1910100901/0490.pdf,-99.1003458,27.4704581
The Leavenworth Echo,01-30-1920,2,Leavenworth,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_cedar_ver01/data/sn87093039/00211107704/1920013001/0037.pdf,-120.8608495,47.7955323
The Morning Call,03-01-1895,8,San Francisco,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_garberville_ver01/data/sn94052989/00175037238/1895030101/0181.pdf,-121.6227222,37.0741136
The Celina Democrat,04-12-1918,2,Celina,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_norgay_ver01/data/sn88077067/00415665787/1918041201/0456.pdf,-84.5625863,40.5550179
The Forest Republican,12-04-1895,1,Tionesta,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_fenske_ver02/data/sn84026497/00280776154/1895120401/0702.pdf,-79.4479971,41.4936609
Imperial Valley Press And The Imperial Press,06-08-1907,6,El Centro,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_benicia_ver01/data/sn92070144/00175047219/1907060801/0455.pdf,-115.6010504,32.7809822
Palatka Daily News,08-24-1922,1,Palatka,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_emerson_ver01/data/sn78001466/00295865064/1922082401/0256.pdf,-81.5660942,29.6394291
The Bolivar County Democrat,07-20-1907,2,Rosedale,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_emerald_ver02/data/sn87065645/00414212608/1907072001/0594.pdf,-91.0339346,33.8526048
The San Juan Islander,03-03-1898,1,Friday Harbor,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_juniper_ver01/data/sn88085190/00211107911/1898030301/0254.pdf,-123.0213548,48.5330338
Montpelier Examiner,08-22-1919,6,Montpelier,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_cornwell_ver02/data/sn86091111/00415666020/1919082201/0160.pdf,-111.192794,42.2570719
The Tucumcari News And Tucumcari Times,07-19-1917,5,Tucumcari,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_dogbane_ver01/data/sn93061711/0028077375A/1917071901/0352.pdf,-103.7543863,35.0487711
The Hickman Courier,07-07-1899,5,Hickman,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_fargo_ver01/data/sn85052141/0020653378A/1899070701/1134.pdf,-88.9762157,36.6781705
Northern Wisconsin Advertiser,09-25-1902,4,Wabeno,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_jarvey_ver01/data/sn85040705/00414215014/1902092501/0280.pdf,-88.551267,45.442287
The Daily Enterprise,08-20-1901,2,Beaumont,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_jaguar_ver01/data/2013271050/00200296965/1901082001/0442.pdf,-94.1489008,30.0919541
Free Trader-Journal And Ottawa Fair Dealer,07-15-1920,8,Ottawa,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_headline_ver02/data/sn92053241/00295873371/1920071501/0091.pdf,-88.8794906,41.3489307
The Wrangell Sentinel,01-12-1922,1,Wrangell,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_arcticfox_ver02/data/sn94050093/0039334247A/1922011201/0208.pdf,-133.0005556,56.5005556
Cameron County Press,08-14-1902,7,Emporium,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_dubois_ver01/data/sn83032040/00296026025/1902081401/0764.pdf,-78.2363955,41.5102111
The Mccarthy Weekly News,08-05-1922,1,Mccarthy,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_dolphin_ver01/data/sn82015295/00514154569/1922080501/1043.pdf,,
Las Vegas Times,07-28-1906,8,Las Vegas,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_unionville_ver02/data/sn86076027/00279554243/1906072801/0461.pdf,-114.9161023,36.0791434
The Logan Republican,05-18-1907,6,Logan,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_armstrong_ver01/data/sn85058246/00206536330/1907051801/1201.pdf,-111.8620383,41.7361225
The Daily Appeal,06-08-1907,1,Carson City,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_hamilton_ver01/data/sn86076248/0027176392A/1907060801/0486.pdf,-119.7475563,39.1511204
The Owosso Times,03-10-1922,6,Owosso,Michigan,https://tile.loc.gov/storage-services/service/ndnp/mimtptc/batch_mimtptc_evart_ver01/data/sn97070614/00296023723/1922031001/0148.pdf,-84.1759164,42.9954515
Troy Weekly News,07-20-1906,12,Troy,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_damascus_ver01/data/sn89055106/00414211951/1906072001/0730.pdf,-116.6657195,46.6937138
Askov American,08-07-1924,7,Askov,Minnesota,https://tile.loc.gov/storage-services/service/ndnp/mnhi/batch_mnhi_ironman_ver02/data/sn89064914/00393341397/1924080701/0718.pdf,-92.7823926,46.1886346
Roanoke Rapids Herald,02-17-1922,7,Roanoke Rapids,North Carolina,https://tile.loc.gov/storage-services/service/ndnp/ncu/batch_ncu_chestnut_ver01/data/sn91068748/00415667401/1922021701/1000.pdf,-77.7053961,36.4493851
Wood County Reporter,09-25-1902,6,Wisconsin Rapids,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_belle_ver01/data/sn85033078/0027176862A/1902092501/0150.pdf,-89.8265346,44.3926761
East Providence Eagle,10-19-1895,1,Providence,Rhode Island,https://tile.loc.gov/storage-services/service/ndnp/rp/batch_rp_imp_ver01/data/sn92064025/00514153504/1895101901/0166.pdf,-71.4574684,41.8616055
The News And Herald,09-30-1921,2,Winnsboro,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_ettabaker_ver02/data/2012218612/0023728821A/1921093001/0134.pdf,-81.1077171,34.4808136
Gardnerville Record,05-09-1901,2,Gardnerville,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_jackpot_ver01/data/sn86076321/00002891248/1901050901/0583.pdf,-119.6048925,38.8843529
Jamestown Weekly Alert,12-28-1922,1,Jamestown,North Dakota,https://tile.loc.gov/storage-services/service/ndnp/ndhi/batch_ndhi_iodine_ver02/data/sn85042405/00271740682/1922122801/0417.pdf,-98.7084357,46.9105438
The Worcester Spy,12-22-1902,1,Worcester,Massachusetts,https://tile.loc.gov/storage-services/service/ndnp/mb/batch_mb_eos_ver01/data/sn86086481/0051717175A/1902122201/1273.pdf,-71.907727,42.3513946
The Harlem News,04-15-1909,6,Harlem,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_glasgow_ver01/data/sn86075250/00517178871/1909041501/0338.pdf,-108.6482019,48.7574722
Fergus County Argus,04-24-1901,3,Lewistown,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_grouse_ver02/data/sn84036228/00294550148/1901042401/0136.pdf,-109.4165707,47.0535841
The Pascagoula Democrat-Star,07-10-1896,3,Pascagoula,Mississippi,https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_daisy_ver01/data/sn87065532/00295878836/1896071001/0939.pdf,-88.5575168,30.3603549
The Islander,10-04-1894,4,Friday Harbor,Washington,https://tile.loc.gov/storage-services/service/ndnp/wa/batch_wa_juniper_ver01/data/sn88085189/0021110790A/1894100401/0067.pdf,-123.0213548,48.5330338
The Falls City Tribune,04-15-1910,6,Falls City,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_fourtusker_ver01/data/sn94056446/00332899296/1910041501/0761.pdf,-95.6019294,40.0608352
The News & Observer,12-21-1897,2,Raleigh,North Carolina,https://tile.loc.gov/storage-services/service/ndnp/ncu/batch_ncu_ford_ver02/data/sn85042104/00332892150/1897122101/0682.pdf,-75.7068429,35.9365573
The Daily Morning Astorian,11-09-1893,4,Astoria,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_oystercatcher_ver01/data/sn96061150/00202194564/1893110901/0923.pdf,-123.8216246,46.1343513
The Lehi Banner,05-11-1905,1,Lehi,Utah,https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_contador_ver01/data/sn85058090/00206535283/1905051101/1015.pdf,-112.0110858,40.2724066
Wheeling Register,02-22-1898,3,Wheeling,West Virginia,https://tile.loc.gov/storage-services/service/ndnp/wvu/batch_wvu_irwin_ver01/data/sn86092518/00340582226/1898022201/0356.pdf,-80.695349,40.0750983
Amador Ledger,01-04-1901,3,Jackson,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quincy_ver01/data/sn93052980/00175046707/1901010401/0218.pdf,-120.7226231,38.3848653
Evening Public Ledger,06-07-1921,14,Philadelphia,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_holuba_ver02/data/sn83045211/00237280301/1921060701/0606.pdf,-75.2040644,40.1584424
Jerome County Times,08-21-1919,2,Jerome,Idaho,https://tile.loc.gov/storage-services/service/ndnp/idhi/batch_idhi_bagrati_ver02/data/sn89055211/00414211732/1919082101/0109.pdf,-114.2639414,42.6899047
The Pick And Drill,07-10-1897,7,Prescott,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_bentonite_ver02/data/sn95060797/00517019264/1897071001/0025.pdf,-112.4351225,34.5521228
Iron County Register,03-15-1917,3,Ironton,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_igoo_ver01/data/sn84024283/00294556771/1917031501/0103.pdf,-90.6282012,37.6009974
Strike Bulletin,05-12-1914,3,Clinton,Illinois,https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_bismuth_ver01/data/sn90054490/00332898085/1914051201/0246.pdf,-89.4224824,38.6064622
