Unnamed: 0,Newspaper Title,Issue Date,Page Number,City,PDF Link
3213,The Herald,07-16-1898,10,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_ogilby_ver01/data/sn85042461/00280769800/1898071601/0206.pdf
3214,The Montgomery Advertiser,03-19-1924,1,"Montgomery, Alabama",https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_hurston_ver01/data/sn84020645/00517018004/1924031901/0326.pdf
3215,Los Angeles Herald,05-23-1909,19,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035783/1909052301/0520.pdf
3216,The Wolf Point Herald,02-22-1929,5,"Wolf Point, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_beargrass_ver01/data/sn86075272/00415666925/1929022201/0518.pdf
3217,The Hattiesburg News,05-18-1910,6,"Hattiesburg, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_gabardine_ver01/data/sn87065167/00199916841/1910051801/0459.pdf
3218,Evening Star,09-27-1929,29,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_morton_ver01/data/sn83045462/00280659940/1929092701/0628.pdf
3219,Los Angeles Herald,03-03-1909,6,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_quailvalley_ver01/data/sn85042462/00175035771/1909030301/0038.pdf
3220,The St. Louis Republic,05-10-1901,13,"Saint Louis, Missouri",https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_ingalls_ver01/data/sn84020274/00211109294/1901051001/0167.pdf
3221,Douglas Daily Dispatch,06-07-1930,10,"Douglas, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_iotite_ver01/data/sn84020064/0054286641A/1930060701/0010.pdf
3222,The San Francisco Call,04-30-1913,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_elderwood_ver02/data/sn85066387/0028076856A/1913043001/0474.pdf
3223,The Pick And Drill,01-11-1898,2,"Prescott, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_bentonite_ver02/data/sn95060797/00517019264/1898011101/0139.pdf
3224,Imperial Valley Press,01-24-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913012401/0283.pdf
3225,The Nenana News,07-21-1923,2,"Nenana, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_goat_ver01/data/sn96060052/00514159774/1923072101/1312.pdf
3226,Bisbee Daily Review,04-19-1910,8,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_coyote_ver01/data/sn84024827/00211106335/1910041901/0787.pdf
3227,Arizona Republican,07-27-1914,2,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_hornedowl_ver01/data/sn84020558/00202192075/1914072701/0349.pdf
3228,The Washington Times,07-10-1923,2,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_melville_ver02/data/sn84026749/00222254012/1923071001/0062.pdf
3229,Belt Valley Times,08-30-1923,3,"Belt', 'Armington, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_ivy_ver01/data/sn83025296/00340582007/1923083001/0792.pdf
3230,The Washington Times,11-19-1920,19,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_akita_ver02/data/sn84026749/00280764735/1920111901/0575.pdf
3231,The Washington Herald,04-09-1914,3,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_braniff_ver01/data/sn83045433/00294558147/1914040901/0240.pdf
3232,Imperial Valley Press,09-30-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/0041418943A/1913093001/0706.pdf
3233,The Silver State,07-06-1912,1,"Winnemucca, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_deeth_ver01/data/sn86076247/00332890438/1912070601/0920.pdf
3234,The Republican,08-01-1907,5,"Oakland, Maryland",https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588526/1907080101/0237.pdf
3235,The Gazette,07-13-1918,4,"Cleveland, Ohio",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_ferguson_ver01/data/sn83035387/00211664599/1918071301/0320.pdf
3236,Evening Star,12-02-1926,1,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_goodman_ver02/data/sn83045462/00280659186/1926120201/0163.pdf
3237,The Washington Times,12-13-1930,14,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_brookland_ver01/data/sn84026749/00205696404/1930121301/0574.pdf
3238,The San Francisco Call,03-03-1900,8,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_albion_ver01/data/sn85066387/190003031/0034.pdf
3239,The San Francisco Call,09-05-1912,20,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_calipatria_ver03/data/sn85066387/00280768418/1912090501/0136.pdf
3240,The San Francisco Call,09-15-1912,66,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_calipatria_ver03/data/sn85066387/00280768418/1912091501/0434.pdf
3241,The San Francisco Call,08-25-1912,62,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_calipatria_ver03/data/sn85066387/00280768406/1912082501/0318.pdf
3242,The San Francisco Call,03-11-1911,24,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035953/1911031101/0254.pdf
3243,The San Francisco Call,07-02-1912,20,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_calipatria_ver03/data/sn85066387/00280768376/1912070201/0038.pdf
3244,The San Francisco Call,07-16-1911,62,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035916/1911071601/0431.pdf
3245,The San Francisco Call,12-06-1912,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_dardanelle_ver01/data/sn85066387/00280768479/1912120601/0180.pdf
3246,The San Francisco Call,02-08-1913,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_dardanelle_ver01/data/sn85066387/00280768510/1913020801/0232.pdf
3247,The San Francisco Call,11-19-1912,20,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_dardanelle_ver01/data/sn85066387/00280768467/1912111901/0138.pdf
3248,The San Francisco Call,02-21-1900,8,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_albion_ver01/data/sn85066387/190002211/0304.pdf
3249,The San Francisco Call,06-07-1911,14,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035990/1911060701/0164.pdf
3250,The San Francisco Call,09-16-1902,8,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_carmel_ver01/data/sn85066387/190209161/0253.pdf
3251,The San Francisco Call,06-28-1911,14,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035990/1911062801/0695.pdf
3252,The San Francisco Call,01-19-1911,14,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/0017503593A/1911011901/0438.pdf
3253,The San Francisco Call,05-27-1913,18,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_elderwood_ver02/data/sn85066387/00280768583/1913052701/0383.pdf
3254,The San Francisco Call,12-04-1912,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_dardanelle_ver01/data/sn85066387/00280768479/1912120401/0132.pdf
3255,The Herald,03-10-1896,2,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_lovelock_ver01/data/sn85042461/00280769666/1896031001/0138.pdf
3256,Bisbee Daily Review,08-11-1910,2,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_coyote_ver01/data/sn84024827/00211106372/1910081101/0778.pdf
3257,Mohave County Miner,07-18-1903,4,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn84024828/00211100679/1903071801/0555.pdf
3258,Mohave County Miner,07-25-1903,4,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn84024828/00211100679/1903072501/0559.pdf
3259,Arizona Republican,07-21-1919,3,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_jojoba_ver01/data/sn84020558/00202195568/1919072101/0402.pdf
3260,Imperial Valley Press,12-23-1912,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1912122301/0179.pdf
3261,Imperial Valley Press,01-11-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913011101/0239.pdf
3262,Los Angeles Herald,09-16-1905,5,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_oasis_ver01/data/sn85042462/00175047311/1905091601/0338.pdf
3263,The Milwaukee Leader,10-09-1929,11,"Milwaukee, Wisconsin",https://tile.loc.gov/storage-services/service/ndnp/whi/batch_whi_italico_ver01/data/sn83045293/00542869100/1929100901/0373.pdf
3264,The Pioche Weekly Record,10-08-1896,2,"Pioche, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_caliente_ver02/data/sn86091346/00415668569/1896100801/0166.pdf
3265,Los Angeles Herald,09-15-1910,6,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035898/1910091501/0322.pdf
3266,The Alaska Daily Empire,09-07-1922,2,"Juneau, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_kingcrab_ver03/data/sn84020657/00279526922/1922090701/0040.pdf
3267,Los Angeles Herald,11-13-1910,27,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035904/1910111301/0275.pdf
3268,The Herald,03-10-1896,9,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_lovelock_ver01/data/sn85042461/00280769666/1896031001/0145.pdf
3269,Chicago Eagle,01-21-1922,3,"Chicago, Illinois",https://tile.loc.gov/storage-services/service/ndnp/iune/batch_iune_article_ver01/data/sn84025828/00202193808/1922012101/0433.pdf
3270,South Bend News-Times,07-25-1930,19,"South Bend, Indiana",https://tile.loc.gov/storage-services/service/ndnp/in/batch_in_ilia_ver01/data/sn87055779/00416150849/1930072501/0674.pdf
3271,The San Francisco Call,03-04-1913,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_elderwood_ver02/data/sn85066387/00280768534/1913030401/0136.pdf
3272,The Birmingham Age-Herald,02-28-1925,15,"Birmingham, Alabama",https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_julian_ver01/data/sn85038485/00517018235/1925022801/1455.pdf
3273,Imperial Valley Press,06-11-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/0041418943A/1913061101/0247.pdf
3274,The Holbrook News,10-14-1910,3,"Holbrook, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_acacia_ver01/data/sn95060791/00212476481/1910101401/0503.pdf
3275,Evening Star,04-04-1924,4,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_beiderbecke_ver01/data/sn83045462/00280657505/1924040401/0640.pdf
3276,Imperial Valley Press,06-18-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/0041418943A/1913061801/0271.pdf
3277,Honolulu Star-Bulletin,06-27-1914,16,"Honolulu, Hawaii",https://tile.loc.gov/storage-services/service/ndnp/hihouml/batch_hihouml_heliotrope_ver01/data/sn82014682/00212471483/1914062701/0721.pdf
3278,The White Pine News,03-13-1910,3,"Ely, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_kimberly_ver01/data/sn86076249/0034058255A/1910031301/0294.pdf
3279,New Iberia Enterprise And Independent Observer,11-12-1921,7,"New Iberia, Louisiana",https://tile.loc.gov/storage-services/service/ndnp/lu/batch_lu_eevee_ver01/data/sn88064328/00295876025/1921111201/0269.pdf
3280,The Nome Nugget,05-12-1923,6,"Nome, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_killerwhale_ver01/data/sn87062013/00514154168/1923051201/0564.pdf
3281,The Arizona Sentinel,10-09-1907,4,"Yuma', 'Arizona City, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_fireant_ver01/data/sn84021912/00211104351/1907100901/0275.pdf
3282,Imperial Valley Press,01-21-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913012101/0271.pdf
3283,Los Angeles Herald,07-17-1910,27,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035874/1910071701/0387.pdf
3284,The Vinita Daily Chieftain,10-05-1910,1,"Vinita, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_kimchee_ver01/data/sn83025020/00415626484/1910100501/1030.pdf
3285,The Daily Ardmoreite,05-02-1917,4,"Ardmore, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_geronimo_ver01/data/sn85042303/00200296825/1917050201/1017.pdf
3286,The Miller Press,03-20-1924,2,"Miller, South Dakota",https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_kale_ver01/data/sn85042790/00340581180/1924032001/1210.pdf
3287,The Daytona Daily News,02-04-1921,8,"Daytona Beach, Florida",https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_defuniak_ver01/data/sn93063916/00271761922/1921020401/0309.pdf
3288,The Poplar Standard,08-20-1926,1,"Poplar, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_froid_ver01/data/sn86075284/0051717869A/1926082001/0237.pdf
3289,The San Francisco Call,11-07-1911,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_angwin_ver02/data/sn85066387/00280768236/1911110701/0160.pdf
3290,Evening Bulletin,12-30-1905,3,"Honolulu, Hawaii",https://tile.loc.gov/storage-services/service/ndnp/hihouml/batch_hihouml_hawk_ver01/data/sn82016413/00237286108/1905123001/0919.pdf
3291,Arizona Republican,07-17-1902,2,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_deserttortoise_ver01/data/sn84020558/00202196263/1902071701/0414.pdf
3292,Los Angeles Herald,03-10-1910,13,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035850/1910031001/0195.pdf
3293,The Record-Union,05-30-1899,8,"Sacramento, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_inskip_ver01/data/sn82015104/00280768856/1899053001/0655.pdf
3294,The Madison Daily Leader,12-17-1906,3,"Madison, South Dakota",https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_grenada_ver01/data/sn99062034/00279523234/1906121701/0444.pdf
3295,Los Angeles Herald,04-03-1907,10,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_pomo_ver01/data/sn85042462/00175047438/1907040301/0627.pdf
3296,Bisbee Daily Review,04-07-1918,7,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_incadove_ver01/data/sn84024827/0021110479A/1918040701/0084.pdf
3297,The Producers News,05-16-1924,1,"Plentywood, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_juniper_ver01/data/sn85053305/00393341944/1924051601/0161.pdf
3298,The Colorado Statesman,01-03-1914,7,"Denver, Colorado",https://tile.loc.gov/storage-services/service/ndnp/cohi/batch_cohi_hamilton_ver01/data/sn83025514/00340586359/1914010301/0839.pdf
3299,The San Francisco Call,05-25-1911,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035989/1911052501/0626.pdf
3300,Arizona Republican,08-18-1918,6,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_jojoba_ver01/data/sn84020558/00211107066/1918081801/0432.pdf
3301,The Pensacola Journal,06-28-1921,6,"Pensacola, Florida",https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_cedarkey_ver01/data/sn87062268/00271762197/1921062801/0247.pdf
3302,Carson City Daily Appeal,08-19-1922,1,"Carson City, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_jackrabbit_ver01/data/sn86076241/00271762471/1922081901/0166.pdf
3303,The San Francisco Call,02-03-1911,14,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/00175035941/1911020301/0052.pdf
3304,The San Francisco Call,06-02-1910,16,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_klamath_ver01/data/sn85066387/00175046616/1910060201/0037.pdf
3305,The Pick And Drill,08-07-1897,7,"Prescott, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_bentonite_ver02/data/sn95060797/00517019264/1897080701/0049.pdf
3306,The Daily Alaska Empire,04-03-1928,5,"Juneau, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_halibut_ver01/data/sn83045499/00414185198/1928040301/0643.pdf
3307,The Winslow Mail,06-29-1923,4,"Winslow, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_arguingmatch_ver02/data/sn96060765/00383341917/1923062901/0338.pdf
3308,The Coconino Sun,05-25-1901,4,"Flagstaff, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_falcon_ver01/data/sn87062055/00211106694/1901052501/1257.pdf
3309,The San Francisco Call,09-15-1897,4,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_fredsplace_ver01/data/sn85066387/00175037597/1897091501/0218.pdf
3310,New-York Tribune,07-04-1919,5,"New York, New York",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_davis_ver02/data/sn83030214/00206532415/1919070401/0071.pdf
3311,Arizona Republican,05-18-1916,7,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_iguana_ver01/data/sn84020558/00202193304/1916051801/0427.pdf
3312,Mohave County Miner,01-31-1903,4,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_agave_ver01/data/sn84024828/00211100679/1903013101/0459.pdf
3313,Los Angeles Herald,03-27-1890,8,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_moonstone_ver01/data/sn84025968/00280769319/1890032701/0226.pdf
3314,Arizona Republican,06-16-1901,3,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_kangaroorat_ver01/data/sn84020558/00211105458/1901061601/0679.pdf
3315,The Bozeman Courier,04-01-1927,15,"Bozeman, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_adderstongue_ver01/data/sn86075113/00415667048/1927040101/0543.pdf
3316,Arizona Republican,10-22-1913,9,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_fairyduster_ver01/data/sn84020558/00202192609/1913102201/0382.pdf
3317,Los Angeles Herald,04-24-1910,25,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035850/1910042401/1316.pdf
3318,Imperial Valley Press,02-12-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913021201/0346.pdf
3319,The San Francisco Call,04-10-1895,9,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_dogtown_ver01/data/sn85066387/00175037251/1895041001/0140.pdf
3320,The Herald,12-07-1893,2,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_ogilby_ver01/data/sn85042461/00280769526/1893120701/0392.pdf
3321,The Herald,08-06-1896,5,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_ogilby_ver01/data/sn85042461/0028076968A/1896080601/0425.pdf
3322,Arizona Republican,06-22-1913,20,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_fairyduster_ver01/data/sn84020558/00202192579/1913062201/0668.pdf
3323,Los Angeles Herald,01-22-1891,7,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_keswick_ver01/data/sn84025968/00280769368/1891012201/0193.pdf
3324,The Ogden Standard-Examiner,06-20-1920,8,"Ogden, Utah",https://tile.loc.gov/storage-services/service/ndnp/uuml/batch_uuml_julich_ver01/data/sn85058393/print/1920062001/1155.pdf
3325,The San Francisco Call,05-21-1897,3,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_idyllwild_ver01/data/sn85066387/00175037548/1897052101/0324.pdf
3326,The Weekly Corinthian,03-07-1901,2,"Corinth, Mississippi",https://tile.loc.gov/storage-services/service/ndnp/msar/batch_msar_karakul_ver02/data/sn87065046/00199917535/1901030701/0419.pdf
3327,Los Angeles Herald,03-19-1892,3,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_plasse_ver01/data/sn84025968/00280769435/1892031901/0185.pdf
3328,The North Platte Semi-Weekly Tribune,04-01-1913,5,"North Platte, Nebraska",https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_irons_ver01/data/2010270504/00237284823/1913040101/0956.pdf
3329,The Herald,03-27-1896,2,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_lovelock_ver01/data/sn85042461/00280769666/1896032701/0334.pdf
3330,Los Angeles Herald,09-29-1910,6,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035898/1910092901/0658.pdf
3331,Imperial Valley Press,01-07-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913010701/0223.pdf
3332,Tonopah Daily Bonanza,01-12-1922,1,"Tonopah, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_beatty_ver02/data/sn86076142/00415627087/1922011201/0036.pdf
3333,The Kevin Review,05-28-1925,2,"Kevin, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_clarkia_ver01/data/sn85053343/00414211070/1925052801/0177.pdf
3334,Arizona Republican,07-12-1912,3,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_fairyduster_ver01/data/sn84020558/0020219252A/1912071201/0397.pdf
3335,Seward Daily Gateway,09-15-1930,1,"Seward, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_jaeger_ver01/data/sn87062169/0051415434A/1930091501/0095.pdf
3336,Mohave County Miner,08-31-1907,3,"Mineral Park, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_blackwidow_ver01/data/sn84024828/00211106232/1907083101/0087.pdf
3337,The Oasis,03-05-1910,1,"Arizola', 'Benson', 'Nogales, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_deserttortoise_ver01/data/sn85032933/00212476195/1910030501/0980.pdf
3338,Douglas Daily International,11-16-1917,5,"Douglas, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_gemsilica_ver01/data/sn95060770/00517019124/1917111601/0300.pdf
3339,The Border Vidette,11-29-1924,3,"Nogales, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_horseshoebend_ver02/data/sn96060796/00414217394/1924112901/0400.pdf
3340,The Herald,04-09-1895,5,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_ogilby_ver01/data/sn85042461/00280769605/1895040901/0541.pdf
3341,Imperial Valley Press,02-21-1913,3,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_mesquite_ver02/data/sn92070146/00414189428/1913022101/0378.pdf
3342,Arizona Republican,12-15-1902,2,"Phoenix, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_leopardfrog_ver01/data/sn84020558/00212476237/1902121501/0268.pdf
3343,Atlanta Georgian,05-12-1914,3,"Atlanta, Georgia",https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_iggy_ver01/data/sn89053729/00517010522/1914051202/0503.pdf
3344,Los Angeles Herald,11-05-1910,6,"Los Angeles, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_rubidoux_ver01/data/sn85042462/00175035904/1910110501/0074.pdf
3345,Douglas Daily Dispatch,11-09-1926,4,"Douglas, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_ironsprings_ver01/data/sn84020064/0041421759A/1926110901/0348.pdf
3346,Douglas Daily Dispatch,07-27-1930,8,"Douglas, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_iotite_ver01/data/sn84020064/00542866421/1930072701/0008.pdf
3347,Imperial Valley Press,06-13-1908,9,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_benicia_ver01/data/sn92070146/00175047219/1908061301/0942.pdf
3348,The San Francisco Call,03-24-1912,54,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_angwin_ver02/data/sn85066387/00280768303/1912032401/0268.pdf
3349,The San Francisco Call,01-25-1911,14,"San Francisco, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_betteravia_ver02/data/sn85066387/0017503593A/1911012501/0580.pdf
3350,Imperial Valley Press,02-20-1929,2,"El Centro, California",https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_paperflower_ver01/data/sn92070146/00414188564/1929022001/0899.pdf
3351,Atlanta Georgian,05-12-1914,3,"Atlanta, Georgia",https://tile.loc.gov/storage-services/service/ndnp/gu/batch_gu_iggy_ver01/data/sn89053729/00517010522/1914051203/0515.pdf
3352,Bisbee Daily Review,06-08-1910,8,"Bisbee, Arizona",https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_coyote_ver01/data/sn84024827/00211106372/1910060801/0308.pdf
3353,The Alaska Daily Empire,09-22-1920,5,"Juneau, Alaska",https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_jellymoss_ver01/data/sn84020657/00279526867/1920092201/0563.pdf
